Function,Argument,Utterance
matplotlib.artist.Artist.set_label,s,Set the label to s for auto legend .
matplotlib.artist.Artist.set_picker,picker,picker can be one of the following :
matplotlib.artist.Artist.set_sketch_params,length,"The length of the wiggle along the line , in pixels ( default 128.0 )"
matplotlib.artist.Artist.set_sketch_params,randomness,The scale factor by which the length is shrunken or expanded ( default 16.0 )
matplotlib.artist.Artist.set_sketch_params,scale,"The amplitude of the wiggle perpendicular to the source line , in pixels . If scale is None , or not provided , no sketch filter will be provided .|||The amplitude of the wiggle perpendicular to the source line , in pixels ."
matplotlib.artist.Artist.update,contains,Replace the contains test used by this artist .
matplotlib.artist.Artist.update,label,Set the label to s for auto legend .
matplotlib.artist.Artist.update,picker,Set the epsilon for picking used by this artist
matplotlib.artist.Artist.update,prop,Update the properties of this Artist from the dictionary prop .
matplotlib.artist.Artist.update,sketch_params,Sets the sketch parameters .
matplotlib.artist.Artist.update_from,other,Copy properties from other to self .
matplotlib.artist.ArtistInspector.aliased_name,s,"return ' PROPNAME or alias ' if s has an alias , else return PROPNAME ."
matplotlib.artist.ArtistInspector.aliased_name_rest,s,"return ' PROPNAME or alias ' if s has an alias , else return PROPNAME formatted for ReST"
matplotlib.artist.ArtistInspector.findobj,match,"If match is not None , it can be"
matplotlib.artist.ArtistInspector.get_aliases,alias,Get a dict mapping fullname - > alias for each alias in the ArtistInspector .
matplotlib.artist.ArtistInspector.get_aliases,fullname,Get a dict mapping fullname - > alias for each alias in the ArtistInspector .
matplotlib.artist.ArtistInspector.get_valid_values,attr,Get the legal arguments for the setter associated with attr .
matplotlib.artist.ArtistInspector.get_valid_values,set_attr,This is done by querying the docstring of the function set_attr|||This is done by querying the docstring of the function set_attr for a line that begins with ACCEPTS :
matplotlib.artist.ArtistInspector.is_alias,o,Return True if method object o is an alias for another function .
matplotlib.artist.ArtistInspector.pprint_setters,prop,"If prop is None , return a list of strings of all settable properies and their valid values .|||If prop is not None , it is a valid property name and that property will be returned as a string of property : valid values ."
matplotlib.artist.ArtistInspector.pprint_setters_rest,prop,"If prop is None , return a list of strings of all settable properies and their valid values . Format the output for ReST|||If prop is None , return a list of strings of all settable properies and their valid values .|||If prop is not None , it is a valid property name and that property will be returned as a string of property : valid values ."
matplotlib.artist.get,anchor,anchor
matplotlib.artist.get,aspect,aspect
matplotlib.artist.get,color_cycle,Set the color cycle for any future plot commands on this Axes .
matplotlib.artist.get,contains,Replace the contains test used by this artist .
matplotlib.artist.get,cursor_props,Set the cursor property as
matplotlib.artist.get,fontproperties,Set the font properties that control the text .
matplotlib.artist.get,label,Set the label to s for auto legend .
matplotlib.artist.get,obj,"obj is a Artist instance , e.g. , Line2D or an instance of a Axes or matplotlib.text.Text .|||obj is a Artist instance , e.g. , Line2D or an instance of a Axes or matplotlib.text.Text . If the property is ' somename ' , this function returns"
matplotlib.artist.get,picker,Set the epsilon for picking used by this artist
matplotlib.artist.get,position,"Set the axes position with|||Set the ( x , y ) position of the text"
matplotlib.artist.get,prop_cycle,Set the property cycle for any future plot commands on this Axes .
matplotlib.artist.get,property,"Return the value of object 's property . property is an optional string for the property you want to return|||obj is a Artist instance , e.g. , Line2D or an instance of a Axes or matplotlib.text.Text .|||obj is a Artist instance , e.g. , Line2D or an instance of a Axes or matplotlib.text.Text . If the property is ' somename ' , this function returns|||Return the value of object 's property ."
matplotlib.artist.get,rotation_mode,set text rotation mode .
matplotlib.artist.get,sketch_params,Sets the sketch parameters .
matplotlib.artist.get,text,Set the text string s
matplotlib.artist.get,title,Set a title for the axes .
matplotlib.artist.get,x,Set the x position of the text
matplotlib.artist.get,xlabel,Set the label for the xaxis .
matplotlib.artist.get,xlim,Set the data limits for the xaxis
matplotlib.artist.get,xmargin,Set padding of X data limits prior to autoscaling .
matplotlib.artist.get,xscale,Set the scaling of the x-axis
matplotlib.artist.get,xticklabels,Set the xtick labels with list of strings labels .
matplotlib.artist.get,xticks,Set the x ticks with list of ticks
matplotlib.artist.get,y,Set the y position of the text
matplotlib.artist.get,ylabel,Set the label for the yaxis
matplotlib.artist.get,ylim,Set the data limits for the yaxis
matplotlib.artist.get,ymargin,Set padding of Y data limits prior to autoscaling .
matplotlib.artist.get,yscale,Set the scaling of the y-axis
matplotlib.artist.get,yticklabels,Set the y tick labels with list of strings labels .
matplotlib.artist.get,yticks,Set the y ticks with list of ticks
matplotlib.artist.getp,anchor,anchor
matplotlib.artist.getp,aspect,aspect
matplotlib.artist.getp,color_cycle,Set the color cycle for any future plot commands on this Axes .
matplotlib.artist.getp,contains,Replace the contains test used by this artist .
matplotlib.artist.getp,cursor_props,Set the cursor property as
matplotlib.artist.getp,fontproperties,Set the font properties that control the text .
matplotlib.artist.getp,label,Set the label to s for auto legend .
matplotlib.artist.getp,obj,"obj is a Artist instance , e.g. , Line2D or an instance of a Axes or matplotlib.text.Text .|||obj is a Artist instance , e.g. , Line2D or an instance of a Axes or matplotlib.text.Text . If the property is ' somename ' , this function returns"
matplotlib.artist.getp,picker,Set the epsilon for picking used by this artist
matplotlib.artist.getp,position,"Set the axes position with|||Set the ( x , y ) position of the text"
matplotlib.artist.getp,prop_cycle,Set the property cycle for any future plot commands on this Axes .
matplotlib.artist.getp,property,"Return the value of object 's property . property is an optional string for the property you want to return|||obj is a Artist instance , e.g. , Line2D or an instance of a Axes or matplotlib.text.Text .|||obj is a Artist instance , e.g. , Line2D or an instance of a Axes or matplotlib.text.Text . If the property is ' somename ' , this function returns|||Return the value of object 's property ."
matplotlib.artist.getp,rotation_mode,set text rotation mode .
matplotlib.artist.getp,sketch_params,Sets the sketch parameters .
matplotlib.artist.getp,text,Set the text string s
matplotlib.artist.getp,title,Set a title for the axes .
matplotlib.artist.getp,x,Set the x position of the text
matplotlib.artist.getp,xlabel,Set the label for the xaxis .
matplotlib.artist.getp,xlim,Set the data limits for the xaxis
matplotlib.artist.getp,xmargin,Set padding of X data limits prior to autoscaling .
matplotlib.artist.getp,xscale,Set the scaling of the x-axis
matplotlib.artist.getp,xticklabels,Set the xtick labels with list of strings labels .
matplotlib.artist.getp,xticks,Set the x ticks with list of ticks
matplotlib.artist.getp,y,Set the y position of the text
matplotlib.artist.getp,ylabel,Set the label for the yaxis
matplotlib.artist.getp,ylim,Set the data limits for the yaxis
matplotlib.artist.getp,ymargin,Set padding of Y data limits prior to autoscaling .
matplotlib.artist.getp,yscale,Set the scaling of the y-axis
matplotlib.artist.getp,yticklabels,Set the y tick labels with list of strings labels .
matplotlib.artist.getp,yticks,Set the y ticks with list of ticks
matplotlib.artist.setp,obj,"obj is a Artist instance , e.g. , Line2D or an instance of a Axes or matplotlib.text.Text .|||obj is a Artist instance , e.g. , Line2D or an instance of a Axes or matplotlib.text.Text . If the property is ' somename ' , this function returns"
matplotlib.artist.setp,property,"Return the value of object 's property . property is an optional string for the property you want to return|||obj is a Artist instance , e.g. , Line2D or an instance of a Axes or matplotlib.text.Text .|||obj is a Artist instance , e.g. , Line2D or an instance of a Axes or matplotlib.text.Text . If the property is ' somename ' , this function returns|||Return the value of object 's property ."
matplotlib.axes.Axes.acorr,detrend,x is detrended by the detrend callable . Default is no normalization .|||x is detrended by the detrend callable .
matplotlib.axes.Axes.acorr,linestyle,"Set the linestyle of the line ( also accepts drawstyles , e.g. , ' steps - - ' )|||Only used if usevlines is False ."
matplotlib.axes.Axes.acorr,marker,Set the line marker
matplotlib.axes.Axes.acorr,markevery,Set the markevery property to subsample the plot when using markers .
matplotlib.axes.Axes.acorr,maxlags,"number of lags to show . If None , will return all 2 * len(x ) - 1 lags .|||number of lags to show ."
matplotlib.axes.Axes.acorr,normed,"if True , normalize the data by the autocorrelation at the 0-th lag ."
matplotlib.axes.Axes.acorr,usevlines,"if True , Axes.vlines is used to plot the vertical lines from the origin to the acorr . Otherwise , Axes.plot is used .|||if True , Axes.vlines is used to plot the vertical lines from the origin to the acorr ."
matplotlib.axes.Axes.add_callback,id,Returns an id that is useful for removing the callback with remove_callback ( ) later .
matplotlib.axes.Axes.add_patch,p,"Add a Patch p to the list of axes patches ; the clipbox will be set to the Axes clipping box .|||Add a Patch p to the list of axes patches ; the clipbox will be set to the Axes clipping box . If the transform is not set , it will be set to transData ."
matplotlib.axes.Axes.angle_spectrum,Fs,"The sampling frequency ( samples per time unit ) .|||The sampling frequency ( samples per time unit ) . It is used to calculate the Fourier frequencies , freqs , in cycles per time unit . The default value is 2 ."
matplotlib.axes.Axes.angle_spectrum,_interpolation_steps,"Used as a hint to certain projections , such as Polar , that this path should be linearly interpolated immediately before drawing . This attribute is primarily an implementation detail and is not intended for public use .|||Used as a hint to certain projections , such as Polar , that this path should be linearly interpolated immediately before drawing ."
matplotlib.axes.Axes.angle_spectrum,agg_filter,set agg_filter fuction .
matplotlib.axes.Axes.angle_spectrum,alpha,Set the alpha value used for blending - not supported on all backends .
matplotlib.axes.Axes.angle_spectrum,anchor,anchor
matplotlib.axes.Axes.angle_spectrum,animated,Set the artist 's animation state .
matplotlib.axes.Axes.angle_spectrum,antialiased,True if line should be drawin with antialiased rendering
matplotlib.axes.Axes.angle_spectrum,aspect,aspect
matplotlib.axes.Axes.angle_spectrum,axes,"Set the Axes instance in which the artist resides , if any ."
matplotlib.axes.Axes.angle_spectrum,clip_box,Set the artist 's clip Bbox .
matplotlib.axes.Axes.angle_spectrum,clip_on,Set whether artist uses clipping .
matplotlib.axes.Axes.angle_spectrum,clip_path,"Set the artist 's clip path , which may be"
matplotlib.axes.Axes.angle_spectrum,closed,"If codes is None and closed is True , vertices will be treated as line segments of a closed polygon ."
matplotlib.axes.Axes.angle_spectrum,codes,"n-length array integers representing the codes of the path .|||n-length array integers representing the codes of the path . If not None , codes must be the same length as vertices . If None , vertices will be treated as a series of line segments ."
matplotlib.axes.Axes.angle_spectrum,color,Set the color of the line
matplotlib.axes.Axes.angle_spectrum,color_cycle,Set the color cycle for any future plot commands on this Axes .
matplotlib.axes.Axes.angle_spectrum,contains,Replace the contains test used by this artist .
matplotlib.axes.Axes.angle_spectrum,cursor_props,Set the cursor property as
matplotlib.axes.Axes.angle_spectrum,dash_capstyle,Set the cap style for dashed linestyles
matplotlib.axes.Axes.angle_spectrum,dash_joinstyle,Set the join style for dashed linestyles ACCEPTS
matplotlib.axes.Axes.angle_spectrum,dashes,"Set the dash sequence , sequence of dashes with on off ink in points ."
matplotlib.axes.Axes.angle_spectrum,drawstyle,Set the drawstyle of the plot
matplotlib.axes.Axes.angle_spectrum,figure,Set the Figure instance the artist belongs to .
matplotlib.axes.Axes.angle_spectrum,fillstyle,Set the marker fill style ; ' full ' means fill the whole marker .
matplotlib.axes.Axes.angle_spectrum,freqs,"Returns the tuple ( spectrum , freqs , line ) :"
matplotlib.axes.Axes.angle_spectrum,gid,Sets the ( group ) id for the artist
matplotlib.axes.Axes.angle_spectrum,hatch,Set the hatching pattern
matplotlib.axes.Axes.angle_spectrum,label,Set the label to s for auto legend .
matplotlib.axes.Axes.angle_spectrum,line,"Returns the tuple ( spectrum , freqs , line ) :"
matplotlib.axes.Axes.angle_spectrum,linestyle,"Set the linestyle of the line ( also accepts drawstyles , e.g. , ' steps - - ' )|||Set the patch linestyle"
matplotlib.axes.Axes.angle_spectrum,linewidth,Set the line width in points
matplotlib.axes.Axes.angle_spectrum,marker,Set the line marker
matplotlib.axes.Axes.angle_spectrum,markeredgecolor,Set the marker edge color
matplotlib.axes.Axes.angle_spectrum,markeredgewidth,Set the marker edge width in points
matplotlib.axes.Axes.angle_spectrum,markerfacecolor,Set the marker face color .
matplotlib.axes.Axes.angle_spectrum,markerfacecoloralt,Set the alternate marker face color .
matplotlib.axes.Axes.angle_spectrum,markersize,Set the marker size in points
matplotlib.axes.Axes.angle_spectrum,markevery,Set the markevery property to subsample the plot when using markers .
matplotlib.axes.Axes.angle_spectrum,pad_to,Compute the angle spectrum ( wrapped phase spectrum ) of x . Data is padded to a length of pad_to and the windowing function window is applied to the signal .|||Compute the angle spectrum ( wrapped phase spectrum ) of x .
matplotlib.axes.Axes.angle_spectrum,path_effects,"set path_effects , which should be a list of instances of matplotlib.patheffect._Base class or its derivatives ."
matplotlib.axes.Axes.angle_spectrum,picker,Sets the event picker details for the line .|||Set the epsilon for picking used by this artist
matplotlib.axes.Axes.angle_spectrum,pickradius,Sets the pick radius used for containment tests
matplotlib.axes.Axes.angle_spectrum,position,Set the axes position with
matplotlib.axes.Axes.angle_spectrum,prop_cycle,Set the property cycle for any future plot commands on this Axes .
matplotlib.axes.Axes.angle_spectrum,rasterized,Force rasterized ( bitmap ) drawing in vector backend output .
matplotlib.axes.Axes.angle_spectrum,readonly,Makes the path behave in an immutable way and sets the vertices and codes as read-only arrays .
matplotlib.axes.Axes.angle_spectrum,sides,"Specifies which sides of the spectrum to return . Default gives the default behavior , which returns one-sided for real data and both for complex data . ' onesided ' forces the return of a one-sided spectrum , while ' twosided ' forces two-sided .|||Specifies which sides of the spectrum to return ."
matplotlib.axes.Axes.angle_spectrum,size_inches,Set the figure size in inches ( 1in = = 2.54cm )
matplotlib.axes.Axes.angle_spectrum,sketch_params,Sets the sketch parameters .
matplotlib.axes.Axes.angle_spectrum,snap,Sets the snap setting which may be
matplotlib.axes.Axes.angle_spectrum,solid_capstyle,Set the cap style for solid linestyles
matplotlib.axes.Axes.angle_spectrum,solid_joinstyle,Set the join style for solid linestyles ACCEPTS
matplotlib.axes.Axes.angle_spectrum,spectrum,"Returns the tuple ( spectrum , freqs , line ) :"
matplotlib.axes.Axes.angle_spectrum,title,Set a title for the axes .
matplotlib.axes.Axes.angle_spectrum,transform,set the Transformation instance used by this artist
matplotlib.axes.Axes.angle_spectrum,url,Sets the url for the artist
matplotlib.axes.Axes.angle_spectrum,vertices,"The ( n , 2 ) float array , masked array or sequence of pairs representing the vertices of the path ."
matplotlib.axes.Axes.angle_spectrum,visible,Set the artist 's visiblity .
matplotlib.axes.Axes.angle_spectrum,window,"Compute the angle spectrum ( wrapped phase spectrum ) of x . Data is padded to a length of pad_to and the windowing function window is applied to the signal .|||A function or a vector of length NFFT .|||A function or a vector of length NFFT . To create window vectors see window_hanning ( ) , window_none ( ) , numpy.blackman ( ) , numpy.hamming ( ) , numpy.bartlett ( ) , scipy.signal ( ) , scipy.signal.get_window ( ) , etc. The default is window_hanning ( ) . If a function is passed as the argument , it must take a data segment as an argument and return the windowed version of the segment .|||Compute the angle spectrum ( wrapped phase spectrum ) of x ."
matplotlib.axes.Axes.angle_spectrum,x,Compute the angle spectrum ( wrapped phase spectrum ) of x . Data is padded to a length of pad_to and the windowing function window is applied to the signal .|||Compute the angle spectrum ( wrapped phase spectrum ) of x .
matplotlib.axes.Axes.angle_spectrum,xdata,Set the data np.array for x
matplotlib.axes.Axes.angle_spectrum,xlabel,Set the label for the xaxis .
matplotlib.axes.Axes.angle_spectrum,xlim,Set the data limits for the xaxis
matplotlib.axes.Axes.angle_spectrum,xmargin,Set padding of X data limits prior to autoscaling .
matplotlib.axes.Axes.angle_spectrum,xscale,Set the scaling of the x-axis
matplotlib.axes.Axes.angle_spectrum,xticklabels,Set the xtick labels with list of strings labels .
matplotlib.axes.Axes.angle_spectrum,xticks,Set the x ticks with list of ticks
matplotlib.axes.Axes.angle_spectrum,ydata,Set the data np.array for y
matplotlib.axes.Axes.angle_spectrum,ylabel,Set the label for the yaxis
matplotlib.axes.Axes.angle_spectrum,ylim,Set the data limits for the yaxis
matplotlib.axes.Axes.angle_spectrum,ymargin,Set padding of Y data limits prior to autoscaling .
matplotlib.axes.Axes.angle_spectrum,yscale,Set the scaling of the y-axis
matplotlib.axes.Axes.angle_spectrum,yticklabels,Set the y tick labels with list of strings labels .
matplotlib.axes.Axes.angle_spectrum,yticks,Set the y ticks with list of ticks
matplotlib.axes.Axes.angle_spectrum,zorder,Set the zorder for the artist .
matplotlib.axes.Axes.annotate,_interpolation_steps,"Used as a hint to certain projections , such as Polar , that this path should be linearly interpolated immediately before drawing . This attribute is primarily an implementation detail and is not intended for public use .|||Used as a hint to certain projections , such as Polar , that this path should be linearly interpolated immediately before drawing ."
matplotlib.axes.Axes.annotate,agg_filter,set agg_filter fuction .
matplotlib.axes.Axes.annotate,alpha,Set the alpha value used for blending - not supported on all backends .
matplotlib.axes.Axes.annotate,anchor,anchor
matplotlib.axes.Axes.annotate,animated,Set the artist 's animation state .
matplotlib.axes.Axes.annotate,annotation_clip,"The annotation_clip attribute controls the visibility of the annotation when it goes outside the axes area .|||The annotation_clip attribute controls the visibility of the annotation when it goes outside the axes area . If True , the annotation will only be drawn when the xy is inside the axes . If False , the annotation will always be drawn regardless of its position . The default is None , which behave as True only if xycoords is "" data "" ."
matplotlib.axes.Axes.annotate,arrowprops,"arrowprops , if not None , is a dictionary of line properties ( see matplotlib.lines.Line2D ) for the arrow that connects annotation to the point .|||Dictionary of line properties for the arrow that connects the annotation to the point . If the dictionnary has a key arrowstyle , a FancyArrowPatch instance is created and drawn . See matplotlib.text.Annotation for more details on valid options . Default is None .|||Dictionary of line properties for the arrow that connects the annotation to the point ."
matplotlib.axes.Axes.annotate,arrowstyle,"If the dictionary has a key arrowstyle , a FancyArrowPatch instance is created with the given dictionary and is drawn .|||If the dictionary has a key arrowstyle , a FancyArrowPatch instance is created with the given dictionary and is drawn . Otherwise , a YAArrow patch instance is created and drawn . Valid keys for YAArrow are :"
matplotlib.axes.Axes.annotate,aspect,aspect
matplotlib.axes.Axes.annotate,axes,"Set the Axes instance in which the artist resides , if any ."
matplotlib.axes.Axes.annotate,backgroundcolor,Set the background color of the text by updating the bbox .
matplotlib.axes.Axes.annotate,bbox,Draw a bounding box around self .
matplotlib.axes.Axes.annotate,clip_box,Set the artist 's clip Bbox .
matplotlib.axes.Axes.annotate,clip_on,Set whether artist uses clipping .
matplotlib.axes.Axes.annotate,clip_path,"Set the artist 's clip path , which may be"
matplotlib.axes.Axes.annotate,closed,"If codes is None and closed is True , vertices will be treated as line segments of a closed polygon ."
matplotlib.axes.Axes.annotate,codes,"n-length array integers representing the codes of the path .|||n-length array integers representing the codes of the path . If not None , codes must be the same length as vertices . If None , vertices will be treated as a series of line segments ."
matplotlib.axes.Axes.annotate,color,Set the foreground color of the text
matplotlib.axes.Axes.annotate,color_cycle,Set the color cycle for any future plot commands on this Axes .
matplotlib.axes.Axes.annotate,contains,Replace the contains test used by this artist .
matplotlib.axes.Axes.annotate,cursor_props,Set the cursor property as
matplotlib.axes.Axes.annotate,family,Set the font family .
matplotlib.axes.Axes.annotate,figure,Set the Figure instance the artist belongs to .
matplotlib.axes.Axes.annotate,fontconfig_pattern,Set the properties by parsing a fontconfig pattern .
matplotlib.axes.Axes.annotate,fontproperties,Set the font properties that control the text .
matplotlib.axes.Axes.annotate,gid,Sets the ( group ) id for the artist
matplotlib.axes.Axes.annotate,hatch,Set the hatching pattern
matplotlib.axes.Axes.annotate,horizontalalignment,Set the horizontal alignment to one of
matplotlib.axes.Axes.annotate,label,Set the label to s for auto legend .
matplotlib.axes.Axes.annotate,linespacing,Set the line spacing as a multiple of the font size .
matplotlib.axes.Axes.annotate,linestyle,"Set the linestyle of the line ( also accepts drawstyles , e.g. , ' steps - - ' )|||Set the patch linestyle"
matplotlib.axes.Axes.annotate,marker,Set the line marker
matplotlib.axes.Axes.annotate,markevery,Set the markevery property to subsample the plot when using markers .
matplotlib.axes.Axes.annotate,multialignment,Set the alignment for multiple lines layout .
matplotlib.axes.Axes.annotate,path_effects,"set path_effects , which should be a list of instances of matplotlib.patheffect._Base class or its derivatives ."
matplotlib.axes.Axes.annotate,picker,Set the epsilon for picking used by this artist
matplotlib.axes.Axes.annotate,position,"Set the axes position with|||Set the ( x , y ) position of the text"
matplotlib.axes.Axes.annotate,prop_cycle,Set the property cycle for any future plot commands on this Axes .
matplotlib.axes.Axes.annotate,rasterized,Force rasterized ( bitmap ) drawing in vector backend output .
matplotlib.axes.Axes.annotate,readonly,Makes the path behave in an immutable way and sets the vertices and codes as read-only arrays .
matplotlib.axes.Axes.annotate,rotation,Set the rotation of the text
matplotlib.axes.Axes.annotate,rotation_mode,set text rotation mode .
matplotlib.axes.Axes.annotate,s,label
matplotlib.axes.Axes.annotate,size,Set the font size .
matplotlib.axes.Axes.annotate,size_inches,Set the figure size in inches ( 1in = = 2.54cm )
matplotlib.axes.Axes.annotate,sketch_params,Sets the sketch parameters .
matplotlib.axes.Axes.annotate,snap,Sets the snap setting which may be
matplotlib.axes.Axes.annotate,stretch,Set the font stretch ( horizontal condensation or expansion ) .
matplotlib.axes.Axes.annotate,style,Set the font style .
matplotlib.axes.Axes.annotate,text,Set the text string s
matplotlib.axes.Axes.annotate,textcoords,"xycoords and textcoords are strings that indicate the coordinates of xy and xytext , and may be one of the following values :|||string that indicates what type of coordinates text is . Examples : "" figure points "" , "" figure pixels "" , "" figure fraction "" , "" axes points "" , ... See matplotlib.text.Annotation for more details .|||string that indicates what type of coordinates text is ."
matplotlib.axes.Axes.annotate,title,Set a title for the axes .
matplotlib.axes.Axes.annotate,transform,Set the Transform instance used by this artist .
matplotlib.axes.Axes.annotate,url,Sets the url for the artist
matplotlib.axes.Axes.annotate,usetex,Set this Text object to render using TeX ( or not ) .
matplotlib.axes.Axes.annotate,variant,"Set the font variant , either ' normal ' or ' small-caps ' ."
matplotlib.axes.Axes.annotate,verticalalignment,Set the vertical alignment
