Function,Utterance
matplotlib.animation.MovieWriter.setup,Perform setup for writing the movie file .
matplotlib.animation.MovieWriterRegistry.list,Get a list of available MovieWriters .
matplotlib.artist.Artist.add_callback,Adds a callback function that will be called whenever one of the Artist 's properties changes .
matplotlib.artist.Artist.contains,Test whether the artist contains the mouse event .
matplotlib.artist.Artist.convert_xunits,"For artists in an axes , if the xaxis has units support , convert x using xaxis unit type"
matplotlib.artist.Artist.convert_yunits,"For artists in an axes , if the yaxis has units support , convert y using yaxis unit type"
matplotlib.artist.Artist.draw,Derived classes drawing method
matplotlib.artist.Artist.findobj,Find artist objects .
matplotlib.artist.Artist.format_cursor_data,Return cursor data string formatted .
matplotlib.artist.Artist.get_agg_filter,return filter function to be used for agg filter
matplotlib.artist.Artist.get_alpha,Return the alpha value used for blending - not supported on all backends
matplotlib.artist.Artist.get_animated,Return the artist 's animated state
matplotlib.artist.Artist.get_axes,"Return the Axes instance the artist resides in , or None ."
matplotlib.artist.Artist.get_children,Return a list of the child Artist`s this
matplotlib.artist.Artist.get_clip_box,Return artist clipbox
matplotlib.artist.Artist.get_clip_on,Return whether artist uses clipping
matplotlib.artist.Artist.get_clip_path,Return artist clip path
matplotlib.artist.Artist.get_contains,"Return the _ contains test used by the artist , or None for default ."
matplotlib.artist.Artist.get_cursor_data,Get the cursor data for a given event .
matplotlib.artist.Artist.get_figure,Return the Figure instance the artist belongs to .
matplotlib.artist.Artist.get_gid,Returns the group id
matplotlib.artist.Artist.get_label,Get the label used for this artist in the legend .
matplotlib.artist.Artist.get_picker,Return the picker object used by this artist
matplotlib.artist.Artist.get_rasterized,return True if the artist is to be rasterized
matplotlib.artist.Artist.get_sketch_params,Returns the sketch parameters for the artist .
matplotlib.artist.Artist.get_snap,Returns the snap setting which may be
matplotlib.artist.Artist.get_transform,Return the Transform instance used by this artist .
matplotlib.artist.Artist.get_transformed_clip_path_and_affine,"Return the clip path with the non-affine part of its transformation applied , and the remaining affine part of its transformation ."
matplotlib.artist.Artist.get_url,Returns the url
matplotlib.artist.Artist.get_visible,Return the artist 's visiblity
matplotlib.artist.Artist.get_window_extent,Get the axes bounding box in display space .
matplotlib.artist.Artist.get_zorder,Return the Artist 's zorder .
matplotlib.artist.Artist.have_units,Return True if units are set on the x or y axes
matplotlib.artist.Artist.hitlist,List the children of the artist which contain the mouse event event .
matplotlib.artist.Artist.is_figure_set,Returns True if the artist is assigned to a Figure .
matplotlib.artist.Artist.is_transform_set,Returns True if Artist has a transform explicitly set .
matplotlib.artist.Artist.pchanged,"Fire an event when property changed , calling all of the registered callbacks ."
matplotlib.artist.Artist.pick,each child artist will fire a pick event if mouseevent is over the artist and the artist has picker set
matplotlib.artist.Artist.pickable,Return True if Artist is pickable .
matplotlib.artist.Artist.properties,return a dictionary mapping property name - > value for all Artist props
matplotlib.artist.Artist.remove,Remove the artist from the figure if possible .
matplotlib.artist.Artist.remove_callback,Remove a callback based on its id .
matplotlib.artist.Artist.set,A property batch setter .
matplotlib.artist.Artist.set_agg_filter,set agg_filter fuction .
matplotlib.artist.Artist.set_alpha,Set the alpha value used for blending - not supported on all backends .
matplotlib.artist.Artist.set_animated,Set the artist 's animation state .
matplotlib.artist.Artist.set_axes,"Set the Axes instance in which the artist resides , if any ."
matplotlib.artist.Artist.set_clip_box,Set the artist 's clip Bbox .
matplotlib.artist.Artist.set_clip_on,Set whether artist uses clipping .
matplotlib.artist.Artist.set_clip_path,"Set the artist 's clip path , which may be"
matplotlib.artist.Artist.set_contains,Replace the contains test used by this artist .
matplotlib.artist.Artist.set_figure,Set the Figure instance the artist belongs to .
matplotlib.artist.Artist.set_gid,Sets the ( group ) id for the artist
matplotlib.artist.Artist.set_label,Set the label to s for auto legend .
matplotlib.artist.Artist.set_path_effects,"set path_effects , which should be a list of instances of matplotlib.patheffect._Base class or its derivatives ."
matplotlib.artist.Artist.set_picker,Set the epsilon for picking used by this artist
matplotlib.artist.Artist.set_rasterized,Force rasterized ( bitmap ) drawing in vector backend output .
matplotlib.artist.Artist.set_sketch_params,Sets the sketch parameters .
matplotlib.artist.Artist.set_snap,Sets the snap setting which may be
matplotlib.artist.Artist.set_transform,Set the Transform instance used by this artist .
matplotlib.artist.Artist.set_url,Sets the url for the artist
matplotlib.artist.Artist.set_visible,Set the artist 's visiblity .
matplotlib.artist.Artist.set_zorder,Set the zorder for the artist .
matplotlib.artist.Artist.update,Update the properties of this Artist from the dictionary prop .
matplotlib.artist.Artist.update_from,Copy properties from other to self .
matplotlib.artist.ArtistInspector.aliased_name,"return ' PROPNAME or alias ' if s has an alias , else return PROPNAME ."
matplotlib.artist.ArtistInspector.aliased_name_rest,"return ' PROPNAME or alias ' if s has an alias , else return PROPNAME formatted for ReST"
matplotlib.artist.ArtistInspector.findobj,Recursively find all matplotlib.artist.Artist instances contained in self .
matplotlib.artist.ArtistInspector.get_aliases,Get a dict mapping fullname - > alias for each alias in the ArtistInspector .
matplotlib.artist.ArtistInspector.get_setters,Get the attribute strings with setters for object .
matplotlib.artist.ArtistInspector.get_valid_values,Get the legal arguments for the setter associated with attr .
matplotlib.artist.ArtistInspector.is_alias,Return True if method object o is an alias for another function .
matplotlib.artist.ArtistInspector.pprint_getters,Return the getters and actual values as list of strings .
matplotlib.artist.ArtistInspector.pprint_setters,"If prop is None , return a list of strings of all settable properies and their valid values ."
matplotlib.artist.ArtistInspector.pprint_setters_rest,"If prop is None , return a list of strings of all settable properies and their valid values ."
matplotlib.artist.ArtistInspector.properties,return a dictionary mapping property name - > value
matplotlib.artist.allow_rasterization,Decorator for Artist.draw method .
matplotlib.artist.get,Return the value of object 's property .
matplotlib.artist.getp,Return the value of object 's property .
matplotlib.artist.setp,Set a property on an artist object .
matplotlib.axes.Axes.acorr,Plot the autocorrelation of x.
matplotlib.axes.Axes.add_artist,Add any Artist to the axes .
matplotlib.axes.Axes.add_callback,Adds a callback function that will be called whenever one of the Artist 's properties changes .
matplotlib.axes.Axes.add_collection,Add a Collection instance to the axes .
matplotlib.axes.Axes.add_container,Add a Container instance to the axes .
matplotlib.axes.Axes.add_image,Add a AxesImage to the axes .
matplotlib.axes.Axes.add_line,Add a Line2D to the list of plot lines
matplotlib.axes.Axes.add_patch,Add a Patch p to the list of axes patches ; the clipbox will be set to the Axes clipping box .
matplotlib.axes.Axes.add_table,Add a Table instance to the list of axes tables
matplotlib.axes.Axes.angle_spectrum,Plot the angle spectrum .
matplotlib.axes.Axes.annotate,Create an annotation
matplotlib.axes.Axes.apply_aspect,Use _ aspect ( ) and _ adjustable ( ) to modify the axes box or the view limits .
matplotlib.axes.Axes.arrow,Add an arrow to the axes .
matplotlib.axes.Axes.autoscale,Autoscale the axis view to the data ( toggle ) .
matplotlib.axes.Axes.autoscale_view,Autoscale the view limits using the data limits .
matplotlib.axes.Axes.axhline,Add a horizontal line across the axis .
matplotlib.axes.Axes.axhspan,Add a horizontal span ( rectangle ) across the axis .
matplotlib.axes.Axes.axis,Set axis properties .
matplotlib.axes.Axes.axvline,Add a vertical line across the axes .
matplotlib.axes.Axes.axvspan,Add a vertical span ( rectangle ) across the axes .
matplotlib.axes.Axes.bar,Make a bar plot .
matplotlib.axes.Axes.barbs,Plot a 2-D field of barbs .
matplotlib.axes.Axes.barh,Make a horizontal bar plot .
matplotlib.axes.Axes.boxplot,Make a box and whisker plot .
matplotlib.axes.Axes.broken_barh,Plot horizontal bars .
matplotlib.axes.Axes.bxp,Drawing function for box and whisker plots .
matplotlib.axes.Axes.can_pan,Return True if this axes supports any pan/zoom button functionality .
matplotlib.axes.Axes.can_zoom,Return True if this axes supports the zoom box button functionality .
matplotlib.axes.Axes.cla,Clear the current axes .
matplotlib.axes.Axes.clabel,Label a contour plot .
matplotlib.axes.Axes.clear,clear the axes
matplotlib.axes.Axes.cohere,Plot the coherence between x and y .
matplotlib.axes.Axes.contains,Test whether the mouse event occured in the axes .
matplotlib.axes.Axes.contains_point,"Returns True if the point ( tuple of x,y ) is inside the axes ( the area defined by the its patch ) ."
matplotlib.axes.Axes.contour,Plot contours .
matplotlib.axes.Axes.contourf,Plot contours .
matplotlib.axes.Axes.convert_xunits,"For artists in an axes , if the xaxis has units support , convert x using xaxis unit type"
matplotlib.axes.Axes.convert_yunits,"For artists in an axes , if the yaxis has units support , convert y using yaxis unit type"
matplotlib.axes.Axes.csd,Plot the cross-spectral density .
matplotlib.axes.Axes.drag_pan,Called when the mouse moves during a pan operation .
matplotlib.axes.Axes.draw,"Draw everything ( plot lines , axes , labels )"
matplotlib.axes.Axes.draw_artist,This method can only be used after an initial draw which caches the renderer .
matplotlib.axes.Axes.end_pan,Called when a pan operation completes ( when the mouse button is up . )
matplotlib.axes.Axes.errorbar,Plot an errorbar graph .
matplotlib.axes.Axes.eventplot,Plot identical parallel lines at specific positions .
matplotlib.axes.Axes.fill,Plot filled polygons .
matplotlib.axes.Axes.fill_between,Make filled polygons between two curves .
matplotlib.axes.Axes.fill_betweenx,Make filled polygons between two horizontal curves .
matplotlib.axes.Axes.findobj,Find artist objects .
matplotlib.axes.Axes.format_coord,"Return a format string formatting the x , y coord"
matplotlib.axes.Axes.format_cursor_data,Return cursor data string formatted .
matplotlib.axes.Axes.format_xdata,Return x string formatted .
matplotlib.axes.Axes.format_ydata,Return y string formatted .
matplotlib.axes.Axes.get_agg_filter,return filter function to be used for agg filter
matplotlib.axes.Axes.get_alpha,Return the alpha value used for blending - not supported on all backends
matplotlib.axes.Axes.get_animated,Return the artist 's animated state
matplotlib.axes.Axes.get_autoscale_on,Get whether autoscaling is applied for both axes on plot commands
matplotlib.axes.Axes.get_autoscalex_on,Get whether autoscaling for the x-axis is applied on plot commands
matplotlib.axes.Axes.get_autoscaley_on,Get whether autoscaling for the y-axis is applied on plot commands
matplotlib.axes.Axes.get_axes,"Return the Axes instance the artist resides in , or None ."
matplotlib.axes.Axes.get_axes_locator,return axes_locator
matplotlib.axes.Axes.get_axis_bgcolor,Return the axis background color
matplotlib.axes.Axes.get_axisbelow,Get whether axis below is true or not
matplotlib.axes.Axes.get_children,return a list of child artists
matplotlib.axes.Axes.get_clip_box,Return artist clipbox
matplotlib.axes.Axes.get_clip_on,Return whether artist uses clipping
matplotlib.axes.Axes.get_clip_path,Return artist clip path
matplotlib.axes.Axes.get_contains,"Return the _ contains test used by the artist , or None for default ."
matplotlib.axes.Axes.get_cursor_data,Get the cursor data for a given event .
matplotlib.axes.Axes.get_cursor_props,"Return the cursor propertiess as a ( linewidth , color ) tuple , where linewidth is a float and color is an RGBA tuple"
matplotlib.axes.Axes.get_data_ratio,Returns the aspect ratio of the raw data .
matplotlib.axes.Axes.get_data_ratio_log,Returns the aspect ratio of the raw data in log scale .
matplotlib.axes.Axes.get_figure,Return the Figure instance the artist belongs to .
matplotlib.axes.Axes.get_frame_on,Get whether the axes rectangle patch is drawn
matplotlib.axes.Axes.get_gid,Returns the group id
matplotlib.axes.Axes.get_images,return a list of Axes images contained by the Axes
matplotlib.axes.Axes.get_label,Get the label used for this artist in the legend .
matplotlib.axes.Axes.get_legend,"Return the legend.Legend instance , or None if no legend is defined"
matplotlib.axes.Axes.get_legend_handles_labels,Return handles and labels for legend
matplotlib.axes.Axes.get_lines,Return a list of lines contained by the Axes
matplotlib.axes.Axes.get_navigate,Get whether the axes responds to navigation commands
matplotlib.axes.Axes.get_navigate_mode,Get the navigation toolbar button status
matplotlib.axes.Axes.get_picker,Return the picker object used by this artist
matplotlib.axes.Axes.get_position,Return the a copy of the axes rectangle as a Bbox
matplotlib.axes.Axes.get_rasterization_zorder,Get zorder value below which artists will be rasterized
matplotlib.axes.Axes.get_rasterized,return True if the artist is to be rasterized
matplotlib.axes.Axes.get_shared_x_axes,Return a copy of the shared axes Grouper object for x axes
matplotlib.axes.Axes.get_shared_y_axes,Return a copy of the shared axes Grouper object for y axes
matplotlib.axes.Axes.get_sketch_params,Returns the sketch parameters for the artist .
matplotlib.axes.Axes.get_snap,Returns the snap setting which may be
matplotlib.axes.Axes.get_tightbbox,Return the tight bounding box of the axes .
matplotlib.axes.Axes.get_title,Get an axes title .
matplotlib.axes.Axes.get_transform,Return the Transform instance used by this artist .
matplotlib.axes.Axes.get_transformed_clip_path_and_affine,"Return the clip path with the non-affine part of its transformation applied , and the remaining affine part of its transformation ."
matplotlib.axes.Axes.get_url,Returns the url
matplotlib.axes.Axes.get_visible,Return the artist 's visiblity
matplotlib.axes.Axes.get_window_extent,get the axes bounding box in display space ; args and kwargs are empty
matplotlib.axes.Axes.get_xaxis,Return the XAxis instance
matplotlib.axes.Axes.get_xaxis_text1_transform,"Get the transformation used for drawing x-axis labels , which will add the given amount of padding ( in points ) between the axes and the label ."
matplotlib.axes.Axes.get_xaxis_text2_transform,"Get the transformation used for drawing the secondary x-axis labels , which will add the given amount of padding ( in points ) between the axes and the label ."
matplotlib.axes.Axes.get_xaxis_transform,"Get the transformation used for drawing x-axis labels , ticks and gridlines ."
matplotlib.axes.Axes.get_xbound,Returns the x-axis numerical bounds where
matplotlib.axes.Axes.get_xgridlines,Get the x grid lines as a list of Line2D instances
matplotlib.axes.Axes.get_xlabel,Get the xlabel text string .
matplotlib.axes.Axes.get_xlim,"Get the x-axis range [ left , right ]"
matplotlib.axes.Axes.get_xmajorticklabels,Get the xtick labels as a list of Text instances .
matplotlib.axes.Axes.get_xminorticklabels,Get the x minor tick labels as a list of matplotlib.text.Text instances .
matplotlib.axes.Axes.get_xscale,Return the xaxis scale string
matplotlib.axes.Axes.get_xticklabels,Get the x tick labels as a list of Text instances .
matplotlib.axes.Axes.get_xticklines,Get the xtick lines as a list of Line2D instances
matplotlib.axes.Axes.get_xticks,Return the x ticks as a list of locations
matplotlib.axes.Axes.get_yaxis,Return the YAxis instance
matplotlib.axes.Axes.get_yaxis_text1_transform,"Get the transformation used for drawing y-axis labels , which will add the given amount of padding ( in points ) between the axes and the label ."
matplotlib.axes.Axes.get_yaxis_text2_transform,"Get the transformation used for drawing the secondary y-axis labels , which will add the given amount of padding ( in points ) between the axes and the label ."
matplotlib.axes.Axes.get_yaxis_transform,"Get the transformation used for drawing y-axis labels , ticks and gridlines ."
matplotlib.axes.Axes.get_ybound,Return y-axis numerical bounds in the form of lowerBound < upperBound
matplotlib.axes.Axes.get_ygridlines,Get the y grid lines as a list of Line2D instances
matplotlib.axes.Axes.get_ylabel,Get the ylabel text string .
matplotlib.axes.Axes.get_ylim,"Get the y-axis range [ bottom , top ]"
matplotlib.axes.Axes.get_ymajorticklabels,Get the major y tick labels as a list of Text instances .
matplotlib.axes.Axes.get_yminorticklabels,Get the minor y tick labels as a list of Text instances .
matplotlib.axes.Axes.get_yscale,Return the yaxis scale string
matplotlib.axes.Axes.get_yticklabels,Get the x tick labels as a list of Text instances .
matplotlib.axes.Axes.get_yticklines,Get the ytick lines as a list of Line2D instances
matplotlib.axes.Axes.get_yticks,Return the y ticks as a list of locations
matplotlib.axes.Axes.get_zorder,Return the Artist 's zorder .
matplotlib.axes.Axes.grid,Turn the axes grids on or off .
matplotlib.axes.Axes.has_data,Return True if any artists have been added to axes .
matplotlib.axes.Axes.have_units,Return True if units are set on the x or y axes
matplotlib.axes.Axes.hexbin,Make a hexagonal binning plot .
matplotlib.axes.Axes.hist,Plot a histogram .
matplotlib.axes.Axes.hist2d,Make a 2D histogram plot .
matplotlib.axes.Axes.hitlist,List the children of the artist which contain the mouse event event .
matplotlib.axes.Axes.hlines,Plot horizontal lines at each y from xmin to xmax .
matplotlib.axes.Axes.hold,Set the hold state .
matplotlib.axes.Axes.imshow,Display an image on the axes .
matplotlib.axes.Axes.in_axes,Return True if the given mouseevent ( in display coords ) is in the Axes
matplotlib.axes.Axes.invert_xaxis,Invert the x-axis .
matplotlib.axes.Axes.invert_yaxis,Invert the y-axis .
matplotlib.axes.Axes.is_figure_set,Returns True if the artist is assigned to a Figure .
matplotlib.axes.Axes.is_transform_set,Returns True if Artist has a transform explicitly set .
matplotlib.axes.Axes.ishold,return the HOLD status of the axes
matplotlib.axes.Axes.legend,Places a legend on the axes .
matplotlib.axes.Axes.locator_params,Control behavior of tick locators .
matplotlib.axes.Axes.loglog,Make a plot with log scaling on both the x and y axis .
matplotlib.axes.Axes.magnitude_spectrum,Plot the magnitude spectrum .
matplotlib.axes.Axes.margins,Set or retrieve autoscaling margins .
matplotlib.axes.Axes.matshow,Plot a matrix or array as an image .
matplotlib.axes.Axes.minorticks_off,Remove minor ticks from the axes .
matplotlib.axes.Axes.minorticks_on,Add autoscaling minor ticks to the axes .
matplotlib.axes.Axes.pchanged,"Fire an event when property changed , calling all of the registered callbacks ."
matplotlib.axes.Axes.pcolor,Create a pseudocolor plot of a 2-D array .
matplotlib.axes.Axes.pcolorfast,pseudocolor plot of a 2-D array
matplotlib.axes.Axes.pcolormesh,Plot a quadrilateral mesh .
matplotlib.axes.Axes.phase_spectrum,Plot the phase spectrum .
matplotlib.axes.Axes.pick,each child artist will fire a pick event if mouseevent is over the artist and the artist has picker set
matplotlib.axes.Axes.pickable,Return True if Artist is pickable .
matplotlib.axes.Axes.pie,Plot a pie chart .
matplotlib.axes.Axes.plot,Plot lines and/or markers to the Axes .
matplotlib.axes.Axes.plot_date,Plot with data with dates .
matplotlib.axes.Axes.properties,return a dictionary mapping property name - > value for all Artist props
matplotlib.axes.Axes.psd,Plot the power spectral density .
matplotlib.axes.Axes.quiver,Plot a 2-D field of arrows .
matplotlib.axes.Axes.quiverkey,Add a key to a quiver plot .
matplotlib.axes.Axes.redraw_in_frame,This method can only be used after an initial draw which caches the renderer .
matplotlib.axes.Axes.relim,Recompute the data limits based on current artists .
matplotlib.axes.Axes.remove,Remove the artist from the figure if possible .
matplotlib.axes.Axes.remove_callback,Remove a callback based on its id .
matplotlib.axes.Axes.reset_position,Make the original position the active position
matplotlib.axes.Axes.scatter,"Make a scatter plot of x vs y , where x and y are sequence like objects of the same lengths ."
matplotlib.axes.Axes.semilogx,Make a plot with log scaling on the x axis .
matplotlib.axes.Axes.semilogy,Make a plot with log scaling on the y axis .
matplotlib.axes.Axes.set,A property batch setter .
matplotlib.axes.Axes.set_agg_filter,set agg_filter fuction .
matplotlib.axes.Axes.set_alpha,Set the alpha value used for blending - not supported on all backends .
matplotlib.axes.Axes.set_anchor,anchor
matplotlib.axes.Axes.set_animated,Set the artist 's animation state .
matplotlib.axes.Axes.set_aspect,aspect
matplotlib.axes.Axes.set_autoscale_on,Set whether autoscaling is applied on plot commands
matplotlib.axes.Axes.set_autoscalex_on,Set whether autoscaling for the x-axis is applied on plot commands
matplotlib.axes.Axes.set_autoscaley_on,Set whether autoscaling for the y-axis is applied on plot commands
matplotlib.axes.Axes.set_axes,"Set the Axes instance in which the artist resides , if any ."
matplotlib.axes.Axes.set_axes_locator,set axes_locator
matplotlib.axes.Axes.set_axis_bgcolor,set the axes background color
matplotlib.axes.Axes.set_axis_off,turn off the axis
matplotlib.axes.Axes.set_axis_on,turn on the axis
matplotlib.axes.Axes.set_axisbelow,Set whether the axis ticks and gridlines are above or below most artists
matplotlib.axes.Axes.set_clip_box,Set the artist 's clip Bbox .
matplotlib.axes.Axes.set_clip_on,Set whether artist uses clipping .
matplotlib.axes.Axes.set_clip_path,"Set the artist 's clip path , which may be"
matplotlib.axes.Axes.set_color_cycle,Set the color cycle for any future plot commands on this Axes .
matplotlib.axes.Axes.set_contains,Replace the contains test used by this artist .
matplotlib.axes.Axes.set_cursor_props,Set the cursor property as
matplotlib.axes.Axes.set_figure,Set the class
matplotlib.axes.Axes.set_frame_on,Set whether the axes rectangle patch is drawn
matplotlib.axes.Axes.set_gid,Sets the ( group ) id for the artist
matplotlib.axes.Axes.set_label,Set the label to s for auto legend .
matplotlib.axes.Axes.set_navigate,Set whether the axes responds to navigation toolbar commands
matplotlib.axes.Axes.set_navigate_mode,Set the navigation toolbar button status ;
matplotlib.axes.Axes.set_path_effects,"set path_effects , which should be a list of instances of matplotlib.patheffect._Base class or its derivatives ."
matplotlib.axes.Axes.set_picker,Set the epsilon for picking used by this artist
matplotlib.axes.Axes.set_position,Set the axes position with
matplotlib.axes.Axes.set_prop_cycle,Set the property cycle for any future plot commands on this Axes .
matplotlib.axes.Axes.set_rasterization_zorder,Set zorder value below which artists will be rasterized .
matplotlib.axes.Axes.set_rasterized,Force rasterized ( bitmap ) drawing in vector backend output .
matplotlib.axes.Axes.set_sketch_params,Sets the sketch parameters .
matplotlib.axes.Axes.set_snap,Sets the snap setting which may be
matplotlib.axes.Axes.set_title,Set a title for the axes .
matplotlib.axes.Axes.set_transform,Set the Transform instance used by this artist .
matplotlib.axes.Axes.set_url,Sets the url for the artist
matplotlib.axes.Axes.set_visible,Set the artist 's visiblity .
matplotlib.axes.Axes.set_xbound,Set the lower and upper numerical bounds of the x-axis .
matplotlib.axes.Axes.set_xlabel,Set the label for the xaxis .
matplotlib.axes.Axes.set_xlim,Set the data limits for the xaxis
matplotlib.axes.Axes.set_xmargin,Set padding of X data limits prior to autoscaling .
matplotlib.axes.Axes.set_xscale,Set the scaling of the x-axis
matplotlib.axes.Axes.set_xticklabels,Set the xtick labels with list of strings labels .
matplotlib.axes.Axes.set_xticks,Set the x ticks with list of ticks
matplotlib.axes.Axes.set_ybound,Set the lower and upper numerical bounds of the y-axis .
matplotlib.axes.Axes.set_ylabel,Set the label for the yaxis
matplotlib.axes.Axes.set_ylim,Set the data limits for the yaxis
matplotlib.axes.Axes.set_ymargin,Set padding of Y data limits prior to autoscaling .
matplotlib.axes.Axes.set_yscale,Set the scaling of the y-axis
matplotlib.axes.Axes.set_yticklabels,Set the y tick labels with list of strings labels .
matplotlib.axes.Axes.set_yticks,Set the y ticks with list of ticks
matplotlib.axes.Axes.set_zorder,Set the zorder for the artist .
matplotlib.axes.Axes.specgram,Plot a spectrogram .
matplotlib.axes.Axes.spy,Plot the sparsity pattern on a 2-D array .
matplotlib.axes.Axes.stackplot,Draws a stacked area plot .
matplotlib.axes.Axes.start_pan,Called when a pan operation has started .
matplotlib.axes.Axes.stem,Create a stem plot .
matplotlib.axes.Axes.step,Make a step plot .
matplotlib.axes.Axes.streamplot,Draws streamlines of a vector flow .
matplotlib.axes.Axes.table,Add a table to the current axes .
matplotlib.axes.Axes.text,Add text to the axes .
matplotlib.axes.Axes.tick_params,Change the appearance of ticks and tick labels .
matplotlib.axes.Axes.ticklabel_format,Change the ScalarFormatter used by default for linear axes .
matplotlib.axes.Axes.tricontour,Draw contours on an unstructured triangular grid .
matplotlib.axes.Axes.tricontourf,Draw contours on an unstructured triangular grid .
matplotlib.axes.Axes.tripcolor,Create a pseudocolor plot of an unstructured triangular grid .
matplotlib.axes.Axes.triplot,Draw a unstructured triangular grid as lines and/or markers .
matplotlib.axes.Axes.twinx,create a twin of Axes for generating a plot with a sharex x-axis but independent y axis .
matplotlib.axes.Axes.twiny,create a twin of Axes for generating a plot with a shared y-axis but independent x axis .
matplotlib.axes.Axes.update,Update the properties of this Artist from the dictionary prop .
matplotlib.axes.Axes.update_datalim,Update the data lim bbox with seq of xy tups or equiv .
matplotlib.axes.Axes.update_datalim_bounds,Update the datalim to include the given Bbox bounds
matplotlib.axes.Axes.update_datalim_numerix,Update the data lim bbox with seq of xy tups
matplotlib.axes.Axes.update_from,Copy properties from other to self .
matplotlib.axes.Axes.violin,Drawing function for violin plots .
matplotlib.axes.Axes.violinplot,Make a violin plot .
matplotlib.axes.Axes.vlines,Plot vertical lines .
matplotlib.axes.Axes.xaxis_date,Sets up x-axis ticks and labels that treat the x data as dates .
matplotlib.axes.Axes.xaxis_inverted,Returns True if the x-axis is inverted .
matplotlib.axes.Axes.xcorr,Plot the cross correlation between x and y .
matplotlib.axes.Axes.yaxis_date,Sets up y-axis ticks and labels that treat the y data as dates .
matplotlib.axes.Axes.yaxis_inverted,Returns True if the y-axis is inverted .
matplotlib.axis.Axis.axis_date,Sets up x-axis ticks and labels that treat the x data as dates .
matplotlib.axis.Axis.cla,clear the current axis
matplotlib.axis.Axis.draw,"Draw the axis lines , grid lines , tick lines and labels"
matplotlib.axis.Axis.get_data_interval,return the Interval instance for this axis data limits
matplotlib.axis.Axis.get_gridlines,Return the grid lines as a list of Line2D instance
matplotlib.axis.Axis.get_label,Return the axis label as a Text instance
matplotlib.axis.Axis.get_label_text,Get the text of the label
matplotlib.axis.Axis.get_major_formatter,Get the formatter of the major ticker
matplotlib.axis.Axis.get_major_locator,Get the locator of the major ticker
matplotlib.axis.Axis.get_major_ticks,get the tick instances ; grow as necessary
matplotlib.axis.Axis.get_majorticklabels,Return a list of Text instances for the major ticklabels
matplotlib.axis.Axis.get_majorticklines,Return the major tick lines as a list of Line2D instances
matplotlib.axis.Axis.get_majorticklocs,Get the major tick locations in data coordinates as a numpy array
matplotlib.axis.Axis.get_minor_formatter,Get the formatter of the minor ticker
matplotlib.axis.Axis.get_minor_locator,Get the locator of the minor ticker
matplotlib.axis.Axis.get_minor_ticks,get the minor tick instances ; grow as necessary
matplotlib.axis.Axis.get_minorticklabels,Return a list of Text instances for the minor ticklabels
matplotlib.axis.Axis.get_minorticklines,Return the minor tick lines as a list of Line2D instances
matplotlib.axis.Axis.get_minorticklocs,Get the minor tick locations in data coordinates as a numpy array
matplotlib.axis.Axis.get_offset_text,Return the axis offsetText as a Text instance
matplotlib.axis.Axis.get_pickradius,Return the depth of the axis used by the picker
