elem_id,name,full_name,type,parent_id,rtype,count,utter,utter_expand
plt.gca.yaxis.get_label_text,get_label_text,matplotlib.axes.Axes.yaxis.get_label_text,func,plt.gca.yaxis,,1,,
plt.bar@left,left,matplotlib.pyplot.bar@left,arg,plt.bar,,52,the x coordinates of the left sides of the bars,the x coordinates of the left sides of the bars
plt.gca.flatten.patch.set_facecolor,set_facecolor,matplotlib.axes.Axes.flatten.patch.set_facecolor,func,plt.gca.flatten.patch,,2,,
plt.hexbin@6,6,matplotlib.pyplot.hexbin@6,arg,plt.hexbin,,11,,
plt.hexbin@7,7,matplotlib.pyplot.hexbin@7,arg,plt.hexbin,,11,,
plt.hexbin@0,0,matplotlib.pyplot.hexbin@0,arg,plt.hexbin,,177,,
plt.hexbin@1,1,matplotlib.pyplot.hexbin@1,arg,plt.hexbin,,177,,
plt.hexbin@2,2,matplotlib.pyplot.hexbin@2,arg,plt.hexbin,,15,,
plt.hexbin@3,3,matplotlib.pyplot.hexbin@3,arg,plt.hexbin,,11,,
plt.matplotlib.font_manager.FontProperties@family,family,matplotlib.pyplot.matplotlib.font_manager.FontProperties@family,arg,plt.matplotlib.font_manager.FontProperties,,4,,
plt.hexbin@N,N,matplotlib.pyplot.hexbin@N,arg,plt.hexbin,,0,"make a hexagonal binning plot of x versus y , where x , y are","make a hexagonal binning plot of x versus y , where x , y are 1-d sequences of the same length , n . if c is none ( the default ) , this is a histogram of the number of occurences of the observations at ( x[i],y[i ] ) ."
plt.quiver@anchor,anchor,matplotlib.pyplot.quiver@anchor,arg,plt.quiver,,0,anchor,anchor
plt.colorbar.set_clim,set_clim,matplotlib.pyplot.colorbar.set_clim,func,plt.colorbar,,4,,
ax.set_title@position,position,matplotlib.axes.Axes.set_title@position,arg,ax.set_title,,0,"set the ( x , y ) position of the text","set the ( x , y ) position of the text"
plt.barh@markersize,markersize,matplotlib.pyplot.barh@markersize,arg,plt.barh,,0,set the marker size in points,set the marker size in points
mpl.collections.Collection.get_children,get_children,matplotlib.collections.Collection.get_children,func,mpl.collections.Collection,,0,return a list of the child artist`s this,return a list of the child artist`s this
plt.hexbin@C,C,matplotlib.pyplot.hexbin@C,arg,plt.hexbin,,29,"if c is specified , it specifies values at the coordinate ( x[i],y[i ] )","if c is specified , it specifies values at the coordinate ( x[i],y[i ] ) ."
mpl.figure.Figure.ginput@n,n,matplotlib.figure.Figure.ginput@n,arg,mpl.figure.Figure.ginput,,0,"if n is zero or negative , accumulate clicks until a middle click ( or","if n is zero or negative , accumulate clicks until a middle click ( or potentially both mouse buttons at once ) terminates the input ."
plt.legend._legend_box._children.append,append,matplotlib.legend.Legend._legend_box._children.append,func,plt.legend._legend_box._children,,1,,
mpl.collections.LineCollection.have_units@x,x,matplotlib.collections.LineCollection.have_units@x,arg,mpl.collections.LineCollection.have_units,,0,return true if units are set on the x or y axes,return true if units are set on the x or y axes
ax.phase_spectrum@zorder,zorder,matplotlib.axes.Axes.phase_spectrum@zorder,arg,ax.phase_spectrum,,0,set the zorder for the artist .,set the zorder for the artist .
plt.twinx.patch.set_visible@0,0,matplotlib.pyplot.twinx.patch.set_visible@0,arg,plt.twinx.patch.set_visible,,2,,
mpl.artist.Artist.have_units,have_units,matplotlib.artist.Artist.have_units,func,mpl.artist.Artist,,0,return true if units are set on the x or y axes,return true if units are set on the x or y axes
mpl.colors.ColorConverter.to_rgba@A,A,matplotlib.colors.ColorConverter.to_rgba@A,arg,mpl.colors.ColorConverter.to_rgba,,0,"for acceptable values of arg , see to_rgb ( ) . in addition , if","for acceptable values of arg , see to_rgb ( ) . in addition , if arg is "" none "" ( case-insensitive ) , then ( 0,0,0,0 ) will be returned . if arg is an rgba sequence and alpha is not none , alpha will replace the original a ."
ax.set_xlabel@xlabel,xlabel,matplotlib.axes.Axes.set_xlabel@xlabel,arg,ax.set_xlabel,,0,x label,x label
plt.plot.set_ydata@0,0,matplotlib.pyplot.plot.set_ydata@0,arg,plt.plot.set_ydata,,68,,
ax.axvline,axvline,matplotlib.axes.Axes.axvline,func,ax,,0,add a vertical line across the axes .,add a vertical line across the axes .
plt.matplotlib.patches.Rectangle@fill,fill,matplotlib.pyplot.matplotlib.patches.Rectangle@fill,arg,plt.matplotlib.patches.Rectangle,,2,,
mpl.finance.plot_day_summary_ohlc@quotes,quotes,matplotlib.finance.plot_day_summary_ohlc@quotes,arg,mpl.finance.plot_day_summary_ohlc,,0,data to plot . time must be in float date format - see date2num,data to plot . time must be in float date format - see date2num
mpl.offsetbox.VPacker@height,height,matplotlib.offsetbox.VPacker@height,arg,mpl.offsetbox.VPacker,,0,"width and height of the container box , calculated if none .","width and height of the container box , calculated if none ."
mpl.collections.LineCollection.get_transform,get_transform,matplotlib.collections.LineCollection.get_transform,func,mpl.collections.LineCollection,,0,return the transform instance used by this artist .,return the transform instance used by this artist .
plt.legend.get_lines.set_ydata@0,0,matplotlib.legend.Legend.get_lines.set_ydata@0,arg,plt.legend.get_lines.set_ydata,,1,,
plt.matplotlib.backends.backend_tkagg.NavigationToolbar2TkAgg,NavigationToolbar2TkAgg,matplotlib.pyplot.matplotlib.backends.backend_tkagg.NavigationToolbar2TkAgg,func,plt.matplotlib.backends.backend_tkagg,,1,,
plt.fill_between.set_edgecolors,set_edgecolors,matplotlib.pyplot.fill_between.set_edgecolors,func,plt.fill_between,,1,,
mpl.type1font.Type1Font.transform,transform,matplotlib.type1font.Type1Font.transform,func,mpl.type1font.Type1Font,,0,transform the font by slanting or extending .,transform the font by slanting or extending .
plt.contourf.collections,collections,matplotlib.pyplot.contourf.collections,func,plt.contourf,,13,,
mpl.backend_managers.ToolManager.toolmanager_connect@s,s,matplotlib.backend_managers.ToolManager.toolmanager_connect@s,arg,mpl.backend_managers.ToolManager.toolmanager_connect,,0,name of the event,name of the event
plt.pcolormesh@aspect,aspect,matplotlib.pyplot.pcolormesh@aspect,arg,plt.pcolormesh,,0,aspect,aspect
ax.text2D@fontstretch,fontstretch,matplotlib.axes.Axes.text2D@fontstretch,arg,ax.text2D,,0,alias for set_stretch,alias for set_stretch
ax.semilogx@aspect,aspect,matplotlib.axes.Axes.semilogx@aspect,arg,ax.semilogx,,0,aspect,aspect
plt.gca.ravel._position.bounds@width,width,matplotlib.axes.Axes.ravel._position.bounds@width,arg,plt.gca.ravel._position.bounds,,1,,
ax.plot@transform,transform,matplotlib.axes.Axes.plot@transform,arg,ax.plot,,0,set the transformation instance used by this artist,set the transformation instance used by this artist
plt.hexbin@x,x,matplotlib.pyplot.hexbin@x,arg,plt.hexbin,,0,"if c is specified , it specifies values at the coordinate ( x[i],y[i ] )","if c is specified , it specifies values at the coordinate ( x[i],y[i ] ) ."
plt.Normalize@clip,clip,matplotlib.pyplot.Normalize@clip,arg,plt.Normalize,,5,,
plt.gca.get_legend._loc,_loc,matplotlib.axes.Axes.get_legend._loc,func,plt.gca.get_legend,,1,,
plt.figure.get_axes.set_xticklabels@0,0,matplotlib.pyplot.figure.get_axes.set_xticklabels@0,arg,plt.figure.get_axes.set_xticklabels,,1,,
plt.locator_params@tight,tight,matplotlib.pyplot.locator_params@tight,arg,plt.locator_params,,7,,
plt.gca.get_xticklabels@rotation,rotation,matplotlib.axes.Axes.get_xticklabels@rotation,arg,plt.gca.get_xticklabels,,5,,
plt.legend.set_bbox_to_anchor@0,0,matplotlib.legend.Legend.set_bbox_to_anchor@0,arg,plt.legend.set_bbox_to_anchor,,3,,
mpl.figure.Figure.gca@position,position,matplotlib.figure.Figure.gca@position,arg,mpl.figure.Figure.gca,,0,set the axes position with,set the axes position with
plt.hexbin@offset_position,offset_position,matplotlib.pyplot.hexbin@offset_position,arg,plt.hexbin,,0,set how offsets are applied .,set how offsets are applied .
plt.Figure.add_subplot,add_subplot,matplotlib.pyplot.Figure.add_subplot,func,plt.Figure,,18,,
plt.gca.get_position.glue_sign,glue_sign,matplotlib.axes.Axes.get_position.glue_sign,func,plt.gca.get_position,,2,,
mpl.collections.EllipseCollection.set_sketch_params@scale,scale,matplotlib.collections.EllipseCollection.set_sketch_params@scale,arg,mpl.collections.EllipseCollection.set_sketch_params,,0,"the amplitude of the wiggle perpendicular to the source line , in pixels . if","the amplitude of the wiggle perpendicular to the source line , in pixels . if scale is none , or not provided , no sketch filter will be provided ."
mpl.figure.Figure.gca@closed,closed,matplotlib.figure.Figure.gca@closed,arg,mpl.figure.Figure.gca,,0,"if codes is none and closed is true , vertices will be treated as line","if codes is none and closed is true , vertices will be treated as line segments of a closed polygon ."
plt.gca.set_boundary@transform,transform,matplotlib.axes.Axes.set_boundary@transform,arg,plt.gca.set_boundary,,2,,
plt.twinx.quiver@headaxislength,headaxislength,matplotlib.pyplot.twinx.quiver@headaxislength,arg,plt.twinx.quiver,,1,,
plt.figure._cachedRenderer.new_gc._capstyle,_capstyle,matplotlib.pyplot.figure._cachedRenderer.new_gc._capstyle,func,plt.figure._cachedRenderer.new_gc,,1,,
plt.gca.ravel.pie@labels,labels,matplotlib.axes.Axes.ravel.pie@labels,arg,plt.gca.ravel.pie,,1,,
mpl.backend_bases.NavigationToolbar2.back,back,matplotlib.backend_bases.NavigationToolbar2.back,func,mpl.backend_bases.NavigationToolbar2,,0,move back up the view lim stack,move back up the view lim stack
plt.legend.draw,draw,matplotlib.legend.Legend.draw,func,plt.legend,,4,draw everything that belongs to the legend,draw everything that belongs to the legend
plt.matplotlib.colorbar.make_axes,make_axes,matplotlib.pyplot.matplotlib.colorbar.make_axes,func,plt.matplotlib.colorbar,,7,,
plt.figure.add_axes.xaxis.set_visible,set_visible,matplotlib.pyplot.figure.add_axes.xaxis.set_visible,func,plt.figure.add_axes.xaxis,,3,,
plt.gca.pcolorfast@vmax,vmax,matplotlib.axes.Axes.pcolorfast@vmax,arg,plt.gca.pcolorfast,,4,vmin and vmax are used in conjunction with norm to normalize luminance data .,vmin and vmax are used in conjunction with norm to normalize luminance data .
plt.figure.subplotpars.top,top,matplotlib.pyplot.figure.subplotpars.top,func,plt.figure.subplotpars,,1,,
ax.errorbar@yscale,yscale,matplotlib.axes.Axes.errorbar@yscale,arg,ax.errorbar,,0,set the scaling of the y-axis,set the scaling of the y-axis
plt.gca.get_ticklocs,get_ticklocs,matplotlib.axes.Axes.get_ticklocs,func,plt.gca,,3,,
plt.gca.transProjection.transform,transform,matplotlib.axes.Axes.transProjection.transform,func,plt.gca.transProjection,,19,,
plt.plot@clist,clist,matplotlib.pyplot.plot@clist,arg,plt.plot,,4,,
ax.plot_date@markerfacecoloralt,markerfacecoloralt,matplotlib.axes.Axes.plot_date@markerfacecoloralt,arg,ax.plot_date,,0,set the alternate marker face color .,set the alternate marker face color .
mpl.collections.EllipseCollection.set_transform,set_transform,matplotlib.collections.EllipseCollection.set_transform,func,mpl.collections.EllipseCollection,,0,set the transform instance used by this artist .,set the transform instance used by this artist .
plt.cm.Blues.extend@0,0,matplotlib.pyplot.cm.Blues.extend@0,arg,plt.cm.Blues.extend,,1,,
plt.gca.reshape.reshape.set_yticks@0,0,matplotlib.axes.Axes.reshape.reshape.set_yticks@0,arg,plt.gca.reshape.reshape.set_yticks,,1,,
ax.set_yscale@linscaley,linscaley,matplotlib.axes.Axes.set_yscale@linscaley,arg,ax.set_yscale,,0,this allows the linear range ( - linthresh to linthresh ) to be stretched relative,this allows the linear range ( - linthresh to linthresh ) to be stretched relative to the logarithmic range .
plt.cohere@picker,picker,matplotlib.pyplot.cohere@picker,arg,plt.cohere,,0,sets the event picker details for the line .,sets the event picker details for the line .
plt.gca.yaxis.set_label@0,0,matplotlib.axes.Axes.yaxis.set_label@0,arg,plt.gca.yaxis.set_label,,2,,
plt.barh@xticks,xticks,matplotlib.pyplot.barh@xticks,arg,plt.barh,,0,set the x ticks with list of ticks,set the x ticks with list of ticks
plt.magnitude_spectrum@yscale,yscale,matplotlib.pyplot.magnitude_spectrum@yscale,arg,plt.magnitude_spectrum,,0,set the scaling of the y-axis,set the scaling of the y-axis
mpl.collections.BrokenBarHCollection.get_clim,get_clim,matplotlib.collections.BrokenBarHCollection.get_clim,func,mpl.collections.BrokenBarHCollection,,0,"return the min , max of the color limits for image scaling","return the min , max of the color limits for image scaling"
mpl.collections.CircleCollection.properties,properties,matplotlib.collections.CircleCollection.properties,func,mpl.collections.CircleCollection,,0,return a dictionary mapping property name - > value for all artist props,return a dictionary mapping property name - > value for all artist props
plt.semilogy@drawstyle,drawstyle,matplotlib.pyplot.semilogy@drawstyle,arg,plt.semilogy,,0,set the drawstyle of the plot,set the drawstyle of the plot
ax.angle_spectrum@aspect,aspect,matplotlib.axes.Axes.angle_spectrum@aspect,arg,ax.angle_spectrum,,0,aspect,aspect
ax.set_xlabel@fontproperties,fontproperties,matplotlib.axes.Axes.set_xlabel@fontproperties,arg,ax.set_xlabel,,0,set the font properties that control the text .,set the font properties that control the text .
plt.boxplot@medianprops@color,color,matplotlib.pyplot.boxplot@medianprops@color,argkey,plt.boxplot@medianprops,,1,set the color of the line,set the color of the line
plt.suptitle.set_text,set_text,matplotlib.pyplot.suptitle.set_text,func,plt.suptitle,,3,,
plt.setp@frame_on,frame_on,matplotlib.pyplot.setp@frame_on,arg,plt.setp,,15,,
plt.figure.add_axes@sharex,sharex,matplotlib.pyplot.figure.add_axes@sharex,arg,plt.figure.add_axes,,23,,
plt.figure.add_axes@sharey,sharey,matplotlib.pyplot.figure.add_axes@sharey,arg,plt.figure.add_axes,,7,,
ax.table@picker,picker,matplotlib.axes.Axes.table@picker,arg,ax.table,,0,set the epsilon for picking used by this artist,set the epsilon for picking used by this artist
plt.arrow@linewidth,linewidth,matplotlib.pyplot.arrow@linewidth,arg,plt.arrow,,0,set the patch linewidth in points,set the patch linewidth in points
plt.plot.rstrip.set_data@0,0,matplotlib.pyplot.plot.rstrip.set_data@0,arg,plt.plot.rstrip.set_data,,1,,
plt.tricontour@cmap,cmap,matplotlib.pyplot.tricontour@cmap,arg,plt.tricontour,,12,a cm colormap instance or none .,a cm colormap instance or none .
plt.gca.get_yticks.tolist.append@0,0,matplotlib.axes.Axes.get_yticks.tolist.append@0,arg,plt.gca.get_yticks.tolist.append,,1,,
mpl.axis.Tick.apply_tickdir,apply_tickdir,matplotlib.axis.Tick.apply_tickdir,func,mpl.axis.Tick,,0,calculate self._pad and self._tickmarkers,calculate self._pad and self._tickmarkers
plt.gca.plot@color,color,matplotlib.pyplot.plot@color,arg,plt.gca.plot,,6,set the color of the line,set the color of the line
mpl.offsetbox.AuxTransformBox.set_transform,set_transform,matplotlib.offsetbox.AuxTransformBox.set_transform,func,mpl.offsetbox.AuxTransformBox,,0,set_transform is ignored .,set_transform is ignored .
ax.csd@snap,snap,matplotlib.axes.Axes.csd@snap,arg,ax.csd,,0,sets the snap setting which may be,sets the snap setting which may be
plt.plot@aa,aa,matplotlib.pyplot.plot@aa,arg,plt.plot,,2,,
ax.hist@n0,n0,matplotlib.axes.Axes.hist@n0,arg,ax.hist,,0,compute and draw the histogram of x . the return value is a tuple (,"compute and draw the histogram of x . the return value is a tuple ( n , bins , patches ) or ( [ n0 , n1 , ... ] , bins , [ patches0 , patches1 , ... ] ) if the input contains multiple data ."
mpl.collections.PatchCollection.set_facecolor@c,c,matplotlib.collections.PatchCollection.set_facecolor@c,arg,mpl.collections.PatchCollection.set_facecolor,,0,set the facecolor(s ) of the collection . c can be a matplotlib color spec,"set the facecolor(s ) of the collection . c can be a matplotlib color spec ( all patches have same color ) , or a sequence of specs ; if it is a sequence the patches will cycle through the sequence ."
plt.gca.add_raster@cmap,cmap,matplotlib.axes.Axes.add_raster@cmap,arg,plt.gca.add_raster,,1,,
plt.csd@markersize,markersize,matplotlib.pyplot.csd@markersize,arg,plt.csd,,0,set the marker size in points,set the marker size in points
plt.barbs,barbs,matplotlib.pyplot.barbs,func,plt,,63,plot a 2-d field of barbs .,plot a 2-d field of barbs .
plt.errorbar@zerr,zerr,matplotlib.pyplot.errorbar@zerr,arg,plt.errorbar,,82,,
ax.pcolor@animated,animated,matplotlib.axes.Axes.pcolor@animated,arg,ax.pcolor,,0,set the artist 's animation state .,set the artist 's animation state .
ax.text2D@multialignment,multialignment,matplotlib.axes.Axes.text2D@multialignment,arg,ax.text2D,,0,set the alignment for multiple lines layout .,set the alignment for multiple lines layout .
plt.matplotlib.pyplot.legend@0,0,matplotlib.pyplot.matplotlib.pyplot.legend@0,arg,plt.matplotlib.pyplot.legend,,1,,
plt.figure.add_axes@resolution,resolution,matplotlib.pyplot.figure.add_axes@resolution,arg,plt.figure.add_axes,,1,,
plt.semilogx@_interpolation_steps,_interpolation_steps,matplotlib.pyplot.semilogx@_interpolation_steps,arg,plt.semilogx,,0,"used as a hint to certain projections , such as polar , that this path","used as a hint to certain projections , such as polar , that this path should be linearly interpolated immediately before drawing . this attribute is primarily an implementation detail and is not intended for public use ."
plt.hexbin@yticklabels,yticklabels,matplotlib.pyplot.hexbin@yticklabels,arg,plt.hexbin,,0,set the y tick labels with list of strings labels .,set the y tick labels with list of strings labels .
plt.gca.get_children.append,append,matplotlib.axes.Axes.get_children.append,func,plt.gca.get_children,,1,,
mpl.mathtext.Fonts.get_metrics@sym,sym,matplotlib.mathtext.Fonts.get_metrics@sym,arg,mpl.mathtext.Fonts.get_metrics,,0,sym : a symbol in raw tex form .,sym : a symbol in raw tex form .
plt.gcf.__class__._default_handler_map,_default_handler_map,matplotlib.pyplot.gcf.__class__._default_handler_map,func,plt.gcf.__class__,,5,,
ax.hold,hold,matplotlib.axes.Axes.hold,func,ax,,0,set the hold state .,set the hold state .
mpl.collections.EventCollection.get_children,get_children,matplotlib.collections.EventCollection.get_children,func,mpl.collections.EventCollection,,0,return a list of the child artist`s this,return a list of the child artist`s this
plt.gca.get_xticklines.set_markeredgewidth@0,0,matplotlib.axes.Axes.get_xticklines.set_markeredgewidth@0,arg,plt.gca.get_xticklines.set_markeredgewidth,,2,,
plt.text.set_fontproperties,set_fontproperties,matplotlib.pyplot.text.set_fontproperties,func,plt.text,,1,,
mpl.collections.EventCollection.get_sketch_params,get_sketch_params,matplotlib.collections.EventCollection.get_sketch_params,func,mpl.collections.EventCollection,,0,returns the sketch parameters for the artist .,returns the sketch parameters for the artist .
plt.legend@bbox_transform,bbox_transform,matplotlib.pyplot.legend@bbox_transform,arg,plt.legend,,10,the transform for the bounding box ( bbox_to_anchor ) .,the transform for the bounding box ( bbox_to_anchor ) .
plt.plot.set_color,set_color,matplotlib.pyplot.plot.set_color,func,plt.plot,,18,,
plt.polar.rstrip.split.inaxes.lines.set_marker,set_marker,matplotlib.pyplot.polar.rstrip.split.inaxes.lines.set_marker,func,plt.polar.rstrip.split.inaxes.lines,,1,,
mpl.mlab.isvector,isvector,matplotlib.mlab.isvector,func,mpl.mlab,,0,"like the matlab function with the same name , returns true if the supplied numpy","like the matlab function with the same name , returns true if the supplied numpy array or matrix x looks like a vector , meaning it has a one non-singleton axis ( i.e. , it can have multiple axes , but all must have length 1 , except for one of them ) ."
plt.gcf.__class__._unit_regular_stars.get@0,0,matplotlib.pyplot.gcf.__class__._unit_regular_stars.get@0,arg,plt.gcf.__class__._unit_regular_stars.get,,10,,
plt.loglog@dash_capstyle,dash_capstyle,matplotlib.pyplot.loglog@dash_capstyle,arg,plt.loglog,,0,set the cap style for dashed linestyles,set the cap style for dashed linestyles
ax.errorbar@xticklabels,xticklabels,matplotlib.axes.Axes.errorbar@xticklabels,arg,ax.errorbar,,0,set the xtick labels with list of strings labels .,set the xtick labels with list of strings labels .
plt.imshow.axes.axes.get_xaxis.set_visible@0,0,matplotlib.pyplot.imshow.axes.axes.get_xaxis.set_visible@0,arg,plt.imshow.axes.axes.get_xaxis.set_visible,,3,,
plt.colorbar.ax.xaxis.set_label_position@0,0,matplotlib.pyplot.colorbar.ax.xaxis.set_label_position@0,arg,plt.colorbar.ax.xaxis.set_label_position,,3,,
plt.suptitle.set_y@0,0,matplotlib.pyplot.suptitle.set_y@0,arg,plt.suptitle.set_y,,1,,
plt.twinx.get_yticklines.set_visible,set_visible,matplotlib.pyplot.twinx.get_yticklines.set_visible,func,plt.twinx.get_yticklines,,1,,
plt.quiver@linewidth,linewidth,matplotlib.pyplot.quiver@linewidth,arg,plt.quiver,,8,set the linewidth(s ) for the collection .,set the linewidth(s ) for the collection .
mpl.collections.QuadMesh.get_clim,get_clim,matplotlib.collections.QuadMesh.get_clim,func,mpl.collections.QuadMesh,,0,"return the min , max of the color limits for image scaling","return the min , max of the color limits for image scaling"
plt.axes.annotate@textcoords,textcoords,matplotlib.pyplot.axes.annotate@textcoords,arg,plt.axes.annotate,,14,,
plt.pcolormesh.get_axes.text@color,color,matplotlib.pyplot.pcolormesh.get_axes.text@color,arg,plt.pcolormesh.get_axes.text,,2,,
plt.quiver@zorder,zorder,matplotlib.pyplot.quiver@zorder,arg,plt.quiver,,11,set the zorder for the artist .,set the zorder for the artist .
mpl.colors.Colormap@N,N,matplotlib.colors.Colormap@N,arg,mpl.colors.Colormap,,0,the number of rgb quantization levels .,the number of rgb quantization levels .
plt.gca.flatten.patch.set_edgecolor,set_edgecolor,matplotlib.axes.Axes.flatten.patch.set_edgecolor,func,plt.gca.flatten.patch,,2,,
plt.gca.set@xticklabels,xticklabels,matplotlib.axes.Axes.set@xticklabels,arg,plt.gca.set,,38,,
